rank,name,rank_2022,quality,demand,science
1,Московский государственный университет имени М.В. Ломоносова,4.7608,1,1,1
2,Московский физико-технический институт (национальный исследовательский университет),4.6507,3,9,2
3,Санкт-Петербургский государственный университет,4.5631,4,7,11
4,Национальный исследовательский ядерный университет «МИФИ»,4.5408,5,11,4
6,Московский государственный технический университет имени Н.Э. Баумана (национальный исследовательский университет),4.5342,8,2,15
5,"Национальный исследовательский университет ""Высшая школа экономики""",4.514,6,4,13
7,МГИМО МИД России,4.2887,2,10,34
8,Санкт-Петербургский политехнический университет Петра Великого,4.2056,10,15,9
9,Национальный исследовательский Томский политехнический университет,4.1506,11,18,6
11,Уральский федеральный университет имени первого Президента России Б.Н. Ельцина,4.0815,21,8,14
12,Новосибирский национальный исследовательский государственный университет,4.0743,12,22,8
14,Финансовый университет при Правительстве РФ,4.07,13,6,31
10,Российская академия народного хозяйства и государственной службы при Президенте РФ,4.0571,17,3,30
13,Университет ИТМО,4.0482,9,30,3
15,Российский экономический университет имени Г.В. Плеханова,4.0451,16,5,37
17,Первый Московский государственный медицинский университет имени И.М. Сеченова Минздрава России,4.0191,14,19,12
16,Университет МИСИС,4.0016,22,13,7
18,Национальный исследовательский Томский государственный университет,3.9934,7,49,5
19,Российский университет дружбы народов имени Патриса Лумумбы,3.8934,15,27,16
20,Казанский (Приволжский) федеральный университет,3.7712,23,26,10
22,Российский национальный исследовательский медицинский университет имени Н.И. Пирогова Минздрава России,3.7203,18,20,24
21,Московский авиационный институт (национальный исследовательский университет),3.6497,20,17,32
23,"Национальный исследовательский университет ""МЭИ""",3.5749,28,16,19
24,Сибирский федеральный университет,3.5308,29,21,18
25,Дальневосточный федеральный университет,3.4761,27,25,21
26,Российский государственный университет нефти и газа (национальный исследовательский университет) имени И.М. Губкина,3.407,34,12,42
30,Московский государственный юридический университет имени О.Е. Кутафина (МГЮА),3.3678,30,14,49
27,Первый Санкт-Петербургский государственный медицинский университет имени академика И.П. Павлова Минздрава России,3.3381,24,34,38
31,Санкт-Петербургский горный университет императрицы Екатерины II,3.2468,25,51,28
28,Южный федеральный университет,3.1313,39,40,17
35,Московский педагогический государственный университет,3.1113,32,23,61
34,Московский государственный лингвистический университет,3.1101,19,54,93
33,Национальный исследовательский Московский государственный строительный университет,3.1,35,31,36
29,Всероссийская академия внешней торговли Министерства экономического развития РФ,3.0859,26,24,120
