title,release_date,info
Трансформеры (The Transformers),6 октября 1984,"Сюжет мультсериала повествует о войне за территорию двух фракций живых роботов с планеты Кибертрон — Автоботов и Десептиконов. В ходе войны природные ресурсы их родной планеты Кибертрон исчерпываются. Чтобы выжить представителям обеих рас приходится бороздить космос в поисках новых ресурсов. Попав на планету Земля войска Оптимуса Прайма и Мегатрона продолжают свою борьбу в 1984 году, скрываясь от людей под камуфляжем доминирующей земной формы — машинной технике. Однако вскоре их война перестаёт быть тайной."
Трансформеры. Роботы под прикрытием (Transformers: Robots In Disguise),14 марта 2015,"Команда автоботов-новичков под предводительством Бамблби готовится к обороне Земли. Земле снова угрожают десептиконы, сбежавшие из рухнувшего на планету корабля-тюрьмы. Бамблби вызывают на Землю для подготовки группы автоботов-защитников. Он собирает команду неопытных трансформеров, в которую входит непослушный «плохиш» Сайдсвайп, кадет элитной гвардии Стронгарм, надменный динобот Гримлок и очень активный миникун Фиксит. Каждый из ботов обладает уникальными способностями, но совершенно не умеет работать в команде. Поэтому Бамблби становится для них не просто лидером, но также мудрым наставником, способным обучать новичков и разрешать конфликты внутри группы. Если подготовка пройдет успешно, Бамблби и команда смогут противостоять опасному врагу и выполнить порученную им миссию — защитить нашу планету."
Трансформеры. Война за Кибертрон. Восход Земли (Transformers: War for Cybertron: Earthrise),30 декабря 2020,"Мегатрон идет на крайние меры ради спасения десептиконов, а автоботы сражаются за будущее всего Кибертрона на поверхности планеты и на борту «Ковчега»."
Трансформеры: Прайм (Transformers: Prime),26 ноября 2010,"Уверенные, что опасность миновала, автоботы, тем не менее, оставляют на Земле небольшую группу защитников под руководством Оптимуса Прайма. Предосторожность оказывается не напрасной — три года спустя Мегатрон объявляется снова и приносит с собой Тёмный Энергон, с помощью которого рассчитывает отомстить за прошлое поражение. Автоботы опять вынуждены взяться за оружие. Они подружились с несколькими земными подростками, и теперь команда роботов и людей сражается, чтобы защитить Землю от десептиконов."
Трансформеры: Земная Искра (Transformers: EarthSpark),11 ноября 2022,"The Malto Family’s world turns upside down when the Terrans, the first Earthborn Transformers robots, spark to life. The Terrans will forge an alliance between the human Malto family and the legendary Autobots, uniting them in a shared mission."
Трансформеры: Зверороботы (Beast Machines: Transformers),18 сентября 1999,"Вернувшись на Кибертрон, Максималы узнают, что он захвачен предаконом Мегатроном и его армией механических Дронов. Так начинается война между органикой и техникой."
Трансформеры: Суперлинк (トランスフォーマー スーパーリンク),9 января 2004,"После исчезновения Мегатрона, между Автоботами и Дисиптиконами наступило долгожданное перемирие. На земле была построена специальная база, где спокойно могли размещаться все трансформеры, работающие над добычей месторождений энергона. Вскоре с отдалённой базы на марсе приходит сигнал бедствия, где говорилось о могущественных существах неизвестного происхождения, которые нападали на рудники энергона. На защиту выдвинулась элитная команда трансформеров, но кроме обломков они ничего не нашли. Тем временем на Земля подверглась нападению с которым с лёгкостью справилась команда Grand Convoy. Однако это была лишь разведка боем и настоящая битва ещё впереди."
Трансформеры: Боты-спасатели (Transformers: Rescue Bots),18 февраля 2012,"Боты-спасатели — это дружная команда автоботов, призванная помогать людям ... Герои мультсериала — четверо автоботов, которые прибыли на Землю недавно, поэтому не знакомы с людскими правилами. Оптимус Прайм поручил им важную миссию — разузнать всё о людях, подружиться с ними и защищать их от разных земных бед и опасностей. Чейз, Хитвейв, Блэйдс и Болдер работают на технически оснащенном острове, выдавая себя за обычные транспортные средства. Здесь автоботы объединяются с семьей специалистов быстрого реагирования, среди которых есть шеф полиции, пожарник, пилот вертолета и инженер. Их общая задача — поддерживать безопасность на острове, спасать его жителей во время стихийных бедствий и техногенных катастроф. Выполняя эту миссию, боты-спасатели научатся командной работе и станут настоящими героями."
Трансформеры. Война за Кибертрон. Осада (Transformers: War for Cybertron: Siege),30 июля 2020,"Автоботы и десептиконы ведут ожесточенную гражданскую войну и губят свою планету, а в истории происхождения вселенной Трансформеров появляются два легендарных лидера."
Трансформеры: Сила Галактики (トランスフォーマー ギャラクシーフォース),8 января 2005,"Цивилизация мыслящих роботов-трансформеров Кибертронцев (Автоботов) находится в смертельной опасности - Великая Чёрная Дыра угрожает поглотить их родную планету Кибертрон. Чтобы предотвратить гибель обитателей планеты, Галактический Конвой, лидер Кибертронцев, готовится к переселению своих воинов через Космический Мост на Землю. Но перед самым отлётом пред трансформерами является посланец из далёкого прошлого робот Вектор Прайм с важным сообщением - обречённую на гибель Галактику можно спасти, собрав четыре легендарные Силы Планет, с помощью которых древние трансформеры пытались соединиться с Космическим Мостом, однако после неудачи эти Силы рассеялись в космическом пространстве. Сообразив, что обладание четырьмя Силами даст ему неограниченную власть над Вселенной, Мегатрон сумел вырвать у Вектора Прайма карту, на которой указано местонахождение Сил. Осознавшие свою ошибку Кибертронцы устремляются в погоню..."
Трансформеры: Автороботы (トランスフォーマー カーロボット),4 мая 2000,"Мультипликационная необычная планета Кибертон, населенная плохими и хорошими роботами, между которыми постоянно идут сражения, за что, они уже и сами не помнят. Но в каждой войне кто-то нападает, кто-то обороняется. Так и на этой планете."
