Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Utilities,LotConfig,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,MasVnrArea,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageCars,GarageQual,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,MiscVal,MoSold,YrSold,SaleCondition,SalePrice,LotShape_IR2,LotShape_IR3,LotShape_Reg,LandContour_HLS,LandContour_Low,LandContour_Lvl,LandSlope_Mod,LandSlope_Sev,ExterQual_Fa,ExterQual_Gd,KitchenQual_Fa,KitchenQual_Gd,GarageFinish_Fin,GarageFinish_RFn,GarageFinish_Unf,PavedDrive_P,PavedDrive_Y
1,60,191004.99478714162,65.0,8450,1,0,176938.0475285171,197965.77333333335,184495.49206349207,181169.40553633217,185763.80737704918,210051.76404494382,7,5,2003,2003,171483.95617879054,179803.6792189679,213732.90097087377,196.0,184034.89625585024,225230.44204018547,202688.4789644013,183632.6209000763,165652.29590766,235413.72009569377,706,184694.69028662422,0,150,856,182021.19537815126,214914.42914979756,1,186825.1131934033,854,0,1710,1,0,2,1,3,1,183429.14705882352,0,141331.48260869566,202892.65632183908,2003.0,2,187489.8360030511,0,61,0,0,0,0,0,2,2008,175202.21953255427,208500,False,False,True,False,False,True,False,False,False,True,False,True,False,True,False,False,True
2,20,191004.99478714162,80.0,9600,1,0,177934.5744680851,238772.72727272726,142475.4814814815,181169.40553633217,185763.80737704918,175985.4779614325,6,8,1976,1976,171483.95617879054,179803.6792189679,149422.17727272728,0.0,184034.89625585024,149805.714511041,202688.4789644013,183632.6209000763,257689.80597014926,161573.06818181818,978,184694.69028662422,0,284,1262,182021.19537815126,214914.42914979756,1,186825.1131934033,0,0,1262,0,1,2,0,3,1,183429.14705882352,1,205723.48881789137,202892.65632183908,1976.0,2,187489.8360030511,298,0,0,0,0,0,0,5,2007,175202.21953255427,181500,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,True
3,60,191004.99478714162,68.0,11250,1,0,176938.0475285171,197965.77333333335,184495.49206349207,181169.40553633217,185763.80737704918,210051.76404494382,7,5,2001,2002,171483.95617879054,179803.6792189679,213732.90097087377,162.0,184034.89625585024,225230.44204018547,202688.4789644013,183632.6209000763,192789.65789473685,235413.72009569377,486,184694.69028662422,0,434,920,182021.19537815126,214914.42914979756,1,186825.1131934033,866,0,1786,1,0,2,1,3,1,183429.14705882352,1,205723.48881789137,202892.65632183908,2001.0,2,187489.8360030511,0,42,0,0,0,0,0,9,2008,175202.21953255427,223500,False,False,False,False,False,True,False,False,False,True,False,True,False,True,False,False,True
4,70,191004.99478714162,60.0,9550,1,0,181623.4258555133,210624.72549019608,184495.49206349207,181169.40553633217,185763.80737704918,210051.76404494382,7,5,1915,1970,171483.95617879054,179803.6792189679,149841.64563106795,0.0,184034.89625585024,132291.07534246575,140759.81818181818,213599.9076923077,165652.29590766,161573.06818181818,216,184694.69028662422,0,540,756,182021.19537815126,156858.87136929462,1,186825.1131934033,756,0,1717,1,0,1,0,3,1,183429.14705882352,1,226351.41578947369,134091.16279069768,1998.0,3,187489.8360030511,0,35,272,0,0,0,0,2,2006,146526.62376237623,140000,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,True
5,60,191004.99478714162,84.0,14260,1,0,177934.5744680851,335295.31707317074,184495.49206349207,181169.40553633217,185763.80737704918,210051.76404494382,8,5,2000,2000,171483.95617879054,179803.6792189679,213732.90097087377,350.0,184034.89625585024,225230.44204018547,202688.4789644013,183632.6209000763,206643.42081447964,235413.72009569377,655,184694.69028662422,0,490,1145,182021.19537815126,214914.42914979756,1,186825.1131934033,1053,0,2198,1,0,2,1,4,1,183429.14705882352,1,205723.48881789137,202892.65632183908,2000.0,3,187489.8360030511,192,84,0,0,0,0,0,12,2008,175202.21953255427,250000,False,False,False,False,False,True,False,False,False,True,False,True,False,True,False,False,True
6,50,191004.99478714162,85.0,14115,1,0,176938.0475285171,156270.1224489796,184495.49206349207,181169.40553633217,185763.80737704918,143116.74025974027,5,5,1993,1995,171483.95617879054,179803.6792189679,213732.90097087377,0.0,184034.89625585024,185666.66666666666,202688.4789644013,183632.6209000763,165652.29590766,235413.72009569377,732,184694.69028662422,0,64,796,182021.19537815126,214914.42914979756,1,186825.1131934033,566,0,1362,1,0,1,1,1,1,183429.14705882352,0,141331.48260869566,202892.65632183908,1993.0,2,187489.8360030511,40,30,0,320,0,0,700,10,2009,175202.21953255427,143000,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True
7,20,191004.99478714162,75.0,10084,1,0,176938.0475285171,225379.83720930232,184495.49206349207,181169.40553633217,185763.80737704918,175985.4779614325,8,5,2004,2005,171483.95617879054,179803.6792189679,213732.90097087377,186.0,184034.89625585024,225230.44204018547,327041.04132231406,183632.6209000763,206643.42081447964,235413.72009569377,1369,184694.69028662422,0,317,1686,182021.19537815126,214914.42914979756,1,186825.1131934033,0,0,1694,1,0,2,0,3,1,183429.14705882352,1,226351.41578947369,202892.65632183908,2004.0,2,187489.8360030511,255,57,0,0,0,0,0,8,2007,175202.21953255427,307000,False,False,True,False,False,True,False,False,False,True,False,True,False,True,False,False,True
8,60,191004.99478714162,70.04995836802665,10382,1,0,181623.4258555133,189050.0684931507,215184.2105263158,181169.40553633217,185763.80737704918,210051.76404494382,7,6,1973,1973,171483.95617879054,179803.6792189679,163077.45045045044,240.0,184034.89625585024,149805.714511041,202688.4789644013,183632.6209000763,192789.65789473685,161573.06818181818,859,151101.0,32,216,1107,182021.19537815126,214914.42914979756,1,186825.1131934033,983,0,2090,1,0,2,1,3,1,183429.14705882352,2,205723.48881789137,202892.65632183908,1973.0,2,187489.8360030511,235,204,228,0,0,0,350,11,2009,175202.21953255427,200000,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True
9,50,126316.83027522935,51.0,6120,1,0,176938.0475285171,128225.30088495575,135091.66666666666,181169.40553633217,185763.80737704918,143116.74025974027,7,5,1931,1950,171483.95617879054,179803.6792189679,194573.0,0.0,184034.89625585024,132291.07534246575,140759.81818181818,183632.6209000763,165652.29590766,170670.57674418605,0,184694.69028662422,0,952,952,182021.19537815126,156858.87136929462,1,107675.44444444444,752,0,1774,0,0,2,0,2,2,146385.48387096773,2,205723.48881789137,134091.16279069768,1931.0,2,123573.35416666667,90,0,205,0,0,0,0,4,2008,146526.62376237623,129900,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,True
10,190,191004.99478714162,50.0,7420,1,0,181623.4258555133,124834.05172413793,135091.66666666666,106500.0,128432.25806451614,110150.0,5,6,1939,1950,171483.95617879054,179803.6792189679,149422.17727272728,0.0,184034.89625585024,132291.07534246575,140759.81818181818,183632.6209000763,165652.29590766,235413.72009569377,851,184694.69028662422,0,140,991,182021.19537815126,214914.42914979756,1,186825.1131934033,0,0,1077,1,0,1,0,2,2,183429.14705882352,2,205723.48881789137,202892.65632183908,1939.0,1,215860.7142857143,0,4,0,0,0,0,0,1,2008,175202.21953255427,118000,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,True
