index,text,sentiment
0,i feel highly honored to have been given this special glimpse into the relationship between you and your little nugget,joy
1,ive been thinking about it because recently theres been times ive been overwhelmed with gratitude to the point of tears and other times im thinking about it because im im feeling so incredibly ungrateful maybe also to the point of tears and wondering why,sadeness
2,im feeling a little beaten down this week and im not sure why,
3,i wake up feeling triumphant,joy
4,i make sure that they feel comfortable and assured that someone is willing to listen to them and support them in things we deem significant to them,
5,i feel hurt upset or angry about something,
6,i know karen wouldnt see it that way if i addressed these things with her it would open a whole miserable can of worms she wouldnt see that shes doing anything wrong and wouldnt be open to hearing how i feel it would turn into an ugly confrontation and i hate confrontation,
7,i feel i am suffering from several related factors that in regarding treatment acne less likely to remove scars left behind by proving your diet and extract,
8,i will focus on either an infantry company or if im feeling either brave or stupid enough a motorbike company for the rest of the challenge but ill leave it until the time and see how i feel then,sadeness
9,i strongly dislike feeling stupid which is a feeling that comes up for me at least once per day and often more frequently than that,sadeness
10,i feel glad and enthusiastic about the point of sand snorkeling,
11,i go to sleep i feel as if i m giving up precious time to do something else with my life,
12,i wasnt sure companies would be hiring this time of year but i am again feeling hopeful,
13,i have turned that page i feel like there is no way of getting back my irresponcible years of carefree college,joy
14,i wont get it for her i tried honestly i did and shes making me feel terrible she makes me feel like the bad guy,
15,im feeling terrible i couldnt feel worse,sadeness
16,i feel like i am not very smart,joy
17,im such a workaholic its because i feel productive and im doing something that i like something that makes me work,joy
18,i feel sorry for the rest of us in second life who understand that without more support for first time users our world will continue on its slow death spiral,
19,i upload today i know some of you are waiting for my bareminerals video but i haven t filmed one and i m feeling kind of lousy today so i m catching up with doing laundry and taking it easy,
20,i have just got home tonight from a beautiful surprise party for a gorgeous friends birthday and can i tell you i am feeling so sentimental and awed and actually totally lost for words to really explain how i am feeling,
21,i write this i still have that vaguely spacy feeling and im not sure ill be an effective human being,
22,i glimpse at his clarity when he takes the reigns i can feel the calm,
23,i really hope im the only blogger they have treat this badly as i still feel super lousy about all and i wouldnt wish this crap on my worst enemy,
24,i out of all people really dont have many proplems talking about how i feel that being said i am in love so after all i have bitched about the last months was in vain,joy
25,im with her because she brings out the best in me when im feeling depressed,
26,i feel joyful and carefree,joy
27,i have yet to meet a cancer patient who does not feel burdened by some poor self image unresolved conflict and worries or past emotional trauma that still lingers in his subconscious,
28,i would feel boring rejected or just downright unlikeable,sadeness
29,im a little worried because i feel the protagonist may not be likeable enough to the average person based on my focus group of one,
30,i feel like a little giggly schoolgirl but its all in fun,joy
31,i did not do all this to feel pretty might i add,
32,i have definitely seen and felt many blessings from heavenly father especially on the days when things feel gloomy and lonely while mike is away working hard for our future,sadeness
33,i feel a world class player in the benzema mould would be fantastic,
34,i still am not able to remember a single dull moment a detail that pissed me off a thing i didnt feel comfortable about,
35,i feel dirty and cheap just talking about going this far,
36,i am feeling very generous this month so i have decided to give away free my kit a href http dezinesamaze,joy
37,i will still feel homesick yes,sadeness
38,i took steps and immediately remembered the feeling i had when my water broke with jack,sadeness
39,i am in caretaker mode i feel disillusioned with the computer,sadeness
40,im stupid and make me feel like im worthless,sadeness
41,ive been a bad bad lazy girl i can feel my muscle aching,sadeness
42,i feel like its important to reveal lessons youve learned in tough times along with ones youve learned in awesome times when you are endeavoring to build an audience through honesty and authenticity,joy
43,i feel for those highly intelligent mammals destined only to become somebody s four course sake accompaniment,
44,ive been feeling wonderful and am now enjoying little karate chops inside my abdomen on a regular basis that make my heart spin circles of joy,joy
45,i feel welcomed cared for and ready to be pleased,joy
46,i feel neglectful and while at her reception i grazed her arm as i walked by and she pulled me back and said where are you going youre way more imporant than those people but i was stoned and full of champagne and could only tell her she was beautiful and that he seemed nice,sadeness
47,i feel fabulous,
48,i feel as though satan doesnt want these one here so im going to be that much more determined to get this out,
49,i texted haircute rather than haircut but since i feel like i was cute afterwards haircute is justified,joy
